ASSIGN_ID,EARFCN,SECTOR_ID,SECTOR_NAME,ENODEB_ID,PCI,PSS,SSS,LONGITUDE,LATITUDE,STYLE,OPT_DATETIME
10,38400,253914-2,三门峡义马棚户区-HLHF-3,253914,223,1,74,111.87101,34.75731,宏站,2017/1/18 11:13
10,38400,253915-0,三门峡义马汽车城-HLHF-1,253915,226,1,75,111.89619,34.73619,宏站,2017/1/18 11:13
10,38400,253915-1,三门峡义马汽车城-HLHF-2,253915,227,2,75,111.89619,34.73619,宏站,2017/1/18 11:13
10,38400,253915-2,三门峡义马汽车城-HLHF-3,253915,225,0,75,111.89619,34.73619,宏站,2017/1/18 11:13
10,38400,253916-0,三门峡义马汽车站-HLHF-1,253916,49,1,16,111.85348,34.74541,宏站,2017/1/18 11:13
10,38400,253916-1,三门峡义马汽车站-HLHF-2,253916,48,0,16,111.85348,34.74541,宏站,2017/1/18 11:13
10,38400,253916-2,三门峡义马汽车站-HLHF-3,253916,50,2,16,111.85348,34.74541,宏站,2017/1/18 11:13
10,38400,253917-0,三门峡义马汽修厂-HLHF-1,253917,51,0,17,111.86618,34.73821,宏站,2017/1/18 11:13
10,38400,253917-1,三门峡义马汽修厂-HLHF-2,253917,52,1,17,111.86618,34.73821,宏站,2017/1/18 11:13
10,38400,253917-2,三门峡义马汽修厂-HLHF-3,253917,53,2,17,111.86618,34.73821,宏站,2017/1/18 11:13
10,38400,253918-0,三门峡义马千秋-HLHF-1,253918,46,1,15,111.87801,34.73831,宏站,2017/1/18 11:13
10,38400,253918-1,三门峡义马千秋-HLHF-2,253918,45,0,15,111.87801,34.73831,宏站,2017/1/18 11:13
10,38400,253918-2,三门峡义马千秋-HLHF-3,253918,47,2,15,111.87801,34.73831,宏站,2017/1/18 11:13
10,38400,253919-0,三门峡义马千秋村-HLHF-1,253919,40,1,13,111.87056,34.73001,宏站,2017/1/18 11:13
10,38400,253919-1,三门峡义马千秋村-HLHF-2,253919,39,0,13,111.87056,34.73001,宏站,2017/1/18 11:13
10,38400,253919-2,三门峡义马千秋村-HLHF-3,253919,41,2,13,111.87056,34.73001,宏站,2017/1/18 11:13
10,38400,253920-0,三门峡义马花园头-HLHF-1,253920,43,1,14,111.88441,34.73732,宏站,2017/1/18 11:13
